"n","miss_rate","model","n_reps","mean_tr_mi","mean_tr_fiml","bias","sd_diff","rmse","cor"
1000,0.1,"Msat",2000,1.02746996923623,1.03261135390345,-0.00514138466721772,0.163598357486691,0.163638241854871,0.541884755322813
1000,0.25,"M1",2000,1.18498009191475,1.24515020705698,-0.0601701151422323,0.182784106381025,0.192389623646824,0.380078926373321
1000,0.25,"M10",2000,1.22317598883326,1.30044363712864,-0.0772676482953837,0.165883335941742,0.182958497959751,0.422723066663293
1000,0.25,"M11",2000,1.03508390147989,1.70531583307369,-0.670231931593804,0.258110080950186,0.718191023063592,0.447839022973408
1000,0.25,"M12",2000,1.11803949197941,1.79381422401719,-0.675774732037777,0.286559100064409,0.733993561437387,0.491748952787179
1000,0.25,"M2",2000,1.14068601264865,1.36549387811972,-0.224807865471074,0.184438140838078,0.290755903567872,0.383952548712629
1000,0.25,"M3",2000,1.07923462007942,1.32216342137965,-0.242928801300223,0.169191559433275,0.296016677558436,0.375750537128272
1000,0.25,"M4",2000,1.20002139295258,2.69645815678656,-1.49643676383398,0.447345615038339,1.56183898926819,0.728472282850005
1000,0.25,"M5",2000,1.15840533969074,1.40243950460853,-0.244034164917786,0.179299864285092,0.302795377704329,0.400081628980843
1000,0.25,"M6",2000,1.26384900008824,1.32254010806599,-0.058691107977753,0.18936022290468,0.19820194632535,0.391946385958396
1000,0.25,"M7",2000,1.23044186364624,2.43559051360781,-1.20514864996157,11.8067801064891,11.8651902522989,-0.00144955169663821
1000,0.25,"M8",2000,1.22319400936168,1.30085286857912,-0.0776588592174437,0.197670852071183,0.212332586501985,0.375871727476174
1000,0.25,"M9",2000,1.30210671128182,1.37850719962872,-0.0764004883469008,0.203354530728467,0.217185227984907,0.389094796875015
1000,0.25,"Msat",2000,2.66039477177043,2.66905177656263,-0.00865700479219988,0.274582348027483,0.274650162656667,0.488240561967514
1000,0.4,"M1",2000,1.94556922743376,2.02860727381325,-0.0830380463794865,0.243692817163011,0.257394275749866,0.332231767540296
1000,0.4,"M10",2000,2.00828701206577,2.10836778829817,-0.100080776232399,0.221632663062499,0.243130908337025,0.364105647316022
1000,0.4,"M11",2000,1.69243230752144,2.36139415005678,-0.668961842535341,0.294081688811937,0.730719333563107,0.476833719309143
1000,0.4,"M12",2000,1.83342947658678,2.50924279298,-0.67581331639322,0.311611644308067,0.744161880624334,0.553241520215481
1000,0.4,"M2",2000,1.87168787363689,2.10802021509985,-0.236332341462959,0.233922683636784,0.332483740399797,0.360320846230301
