"method","model","tr_RIV","term1","term2","term3","total"
"amelia","M11",2.04047836185936,-2.99961161111059,0.0623991028678574,-0.80335031807499,-3.74056282631773
"amelia","M12",2.21667988776782,-1.49046358088708,0.221062487813469,-0.960822556381117,-2.23022364945473
"amelia","Msat",5.2031842052272,-4.23147412689195,-0.237252948196328,-2.38830852346928,-6.85703559855756
"amelia","M1",2.12705356803007,-0.901959959684064,-0.0498694538646305,-0.553658563537283,-1.50548797708598
"amelia","M2",2.06411127807236,-0.906722282395094,-0.0300851615270403,-0.53986750610693,-1.47667495002906
"amelia","M3",1.94310629912346,-1.69473737542512,-0.0533785416523642,-0.492812221553777,-2.24092813863126
"amelia","M4",1.97478416095627,-1.75174206960901,-0.0478316208395881,-0.504314763629736,-2.30388845407833
"amelia","M5",2.04181892100566,-1.2536014709367,-0.0555459115398662,-0.751729910613449,-2.06087729309002
"amelia","M6",2.22655866660909,-0.774702237350994,-0.0619395925928075,-0.799990864905794,-1.6366326948496
"amelia","M7",2.01278030815408,0.691991834262808,-0.0235587777651745,-0.652090421711819,0.0163426347858149
"amelia","M8",2.18880737018425,-0.873609585014947,-0.0400144209534119,-0.563559933963006,-1.47718393993136
"amelia","M9",2.28941471964027,-0.744654976760103,-0.053546825714875,-0.809108749724146,-1.60731055219912
"amelia","M10",2.1867940883517,-0.870970701360875,-0.0426783916000204,-0.563564892767772,-1.47721398572867
"amelia","M11",1.68551972417133,-2.27870112514893,-0.00204041231336305,-0.538690912709171,-2.81943245017146
"amelia","M12",1.83719038671343,-0.67009659895939,0.0233582589539765,-0.59956818603041,-1.24630652603582
"amelia","Msat",4.79010025631257,0.179687926917723,-0.179896736246974,-2.87216016042066,-2.87236896974991
"amelia","M1",2.02117964359578,-3.0549435514381,-0.099326772070981,-0.998748015647834,-4.15301833915692
"amelia","M2",1.95420647307618,-2.11818763782185,-0.123550004621393,-0.935352935614446,-3.17709057805769
"amelia","M3",1.6972273135902,-2.56212031587847,-0.121257106015037,-0.910833096760598,-3.59421051865411
"amelia","M4",1.97474368038525,-3.78063140227141,-0.0416631798898379,-0.857930011028657,-4.68022459318991
"amelia","M5",1.81660053289876,-3.16377979043182,-0.149492597146036,-0.967138253257872,-4.28041064083573
"amelia","M6",2.10860706751014,-3.76036666201935,-0.147252222379848,-1.04770641929872,-4.95532530369792
"amelia","M7",2.31417592776759,0.618134581521645,-0.0720506389452567,-1.02238710595839,-0.476303163381999
"amelia","M8",2.15744962463836,-3.51340766835165,-0.0956784482964395,-1.10157787742901,-4.71066399407709
"amelia","M9",2.27737089732187,-4.13609927850803,-0.127099625377014,-1.14280494810328,-5.40600385198832
"amelia","M10",2.15407337109594,-3.51986589276294,-0.08933845224783,-1.10159181958852,-4.71079616459929
"amelia","M11",1.68838771690744,-2.52323344100523,0.00168951047226074,-0.892767182124317,-3.41431111265729
"amelia","M12",2.81871694544939,-4.27137441125251,-0.0789052967152202,-0.904785415881179,-5.25506512384891
